timestamp,counts per 10 seconds
1679698286.7557445,41
1679698297.0868042,44
1679698307.4689333,48
1679698317.5694997,34
1679698327.8906522,31
1679698338.155098,50
1679698348.3507795,31
1679698358.382351,32
1679698369.020405,28
1679698379.389265,32
1679698389.437158,39
1679698399.5024557,33
