timestamp,counts per 10 seconds
1679698577.128212,12
1679698587.4808939,6
1679698597.5037086,6
1679698607.8304863,7
1679698618.3918195,11
1679698628.607107,3
1679698638.6458385,12
1679698648.897967,6
1679698658.9952059,10
1679698669.088959,15
1679698679.793945,5
1679698690.223329,10
