Epoch time,Latitude,Longitude,Radiation (cps),Radiation Bi (cps),Radiation K (cps),Radiation Tl (cps)
1682551765.405488,0,0,27.0,0.6,0.0,0.0
1682551770.808824,0,0,27.6,0.2,0.6,0.0
1682551776.3288813,0,0,28.6,1.2,0.4,0.0
1682551781.7564914,0,0,26.2,0.2,0.0,0.0
1682551787.2102013,0,0,25.2,1.0,0.4,0.0
1682551792.6507936,0,0,29.8,0.4,0.0,0.2
1682551798.1423588,0,0,23.4,0.8,0.0,0.0
1682551803.8008962,0,0,27.0,0.8,0.2,0.0
1682551809.3043098,0,0,26.2,0.8,0.2,0.0
1682551814.8101513,0,0,30.0,0.2,0.0,0.0
1682551820.3227358,0,0,29.0,0.8,0.0,0.0
1682551825.8613985,0,0,23.6,0.6,0.0,0.0
1682551831.422989,0,0,27.0,0.8,0.0,0.2
1682551837.0083377,0,0,24.4,1.6,0.2,0.0
1682551842.5787134,0,0,28.4,1.0,0.2,0.0
1682551848.2384932,0,0,21.0,0.2,0.2,0.0
1682551853.8717806,0,0,23.8,0.6,0.2,0.0
1682551859.5113056,0,0,25.4,0.2,0.2,0.0
1682551865.1523905,0,0,28.2,1.0,0.4,0.0
1682551870.8180861,0,0,27.6,0.6,0.2,0.0
1682551876.52606,0,0,24.4,0.2,0.2,0.0
1682551882.2002606,0,0,30.0,0.8,0.0,0.0
1682551887.8916826,0,0,29.2,0.4,0.2,0.0
1682551893.5820403,0,0,29.0,1.2,0.0,0.2
1682551899.3315322,0,0,27.0,0.6,0.4,0.0
1682551905.099125,0,0,23.4,0.6,0.0,0.0
1682551910.8541343,0,0,28.8,0.6,0.0,0.0
1682551916.6414945,0,0,24.0,0.4,0.2,0.2
1682551922.4789531,0,0,27.2,0.8,0.2,0.0
1682551928.353259,0,0,28.0,1.0,0.2,0.0
1682551934.210508,0,0,31.0,0.4,0.0,0.0
1682551940.052322,0,0,28.4,0.4,0.4,0.0
1682551945.9163935,0,0,27.6,0.6,0.2,0.0
1682551951.8161912,0,0,31.0,0.8,0.0,0.0
1682551957.7474933,0,0,25.6,1.2,0.0,0.0
1682551963.7486897,0,0,29.8,1.4,0.4,0.0
