Epoch time,Latitude,Longitude,Radiation (cps),Radiation Bi (cps),Radiation K (cps),Radiation Tl (cps)
1682553725.1254058,37.869625,-122.258361,33.6,1.0,0.0,0.0
1682553731.098064,37.869625,-122.258361,40.0,1.0,0.2,0.0
1682553736.6047554,37.869625,-122.258361,41.0,1.0,0.2,0.0
1682553742.0225632,37.869625,-122.258361,40.2,1.0,0.0,0.2
1682553747.4392295,37.869625,-122.258361,43.6,1.6,0.8,0.2
1682553752.8737562,37.869625,-122.258361,39.4,1.0,0.2,0.4
1682553758.3497481,37.869625,-122.258361,41.4,1.0,0.0,0.0
1682553764.0295668,37.869625,-122.258361,41.6,1.4,0.6,0.0
1682553769.5246513,37.869625,-122.258361,43.2,1.0,1.0,0.2
1682553775.09074,37.869625,-122.258361,45.4,1.6,1.2,0.0
1682553780.6177638,37.869625,-122.258361,44.4,1.2,0.6,0.0
1682553786.1982384,37.869625,-122.258361,43.8,1.8,0.4,0.0
1682553791.7289536,37.869625,-122.258361,40.6,1.6,0.6,0.0
1682553797.3032792,37.869625,-122.258361,41.0,1.0,0.2,0.0
1682553802.8686016,37.869625,-122.258361,40.8,0.6,0.0,0.0
1682553808.456363,37.869625,-122.258361,43.6,0.6,0.6,0.0
1682553814.0581424,37.869625,-122.258361,38.6,2.0,0.2,0.0
1682553819.6601598,37.869625,-122.258361,42.6,1.4,0.2,0.0
1682553825.3563883,37.869625,-122.258361,41.0,1.6,0.4,0.0
1682553831.0394208,37.869625,-122.258361,40.2,2.0,0.8,0.2
1682553836.6943185,37.869625,-122.258361,49.4,1.2,0.8,0.0
1682553842.380244,37.869625,-122.258361,43.6,1.2,0.2,0.0
1682553848.0988097,37.869625,-122.258361,43.0,1.6,0.2,0.0
1682553853.7789245,37.869625,-122.258361,45.8,1.4,0.2,0.0
1682553859.5099216,37.869625,-122.258361,48.0,0.8,0.0,0.2
1682553865.2865856,37.869625,-122.258361,43.0,2.0,0.4,0.0
1682553871.0012248,37.869625,-122.258361,40.8,1.6,0.6,0.0
1682553876.7526004,37.869625,-122.258361,40.4,1.6,0.4,0.0
1682553882.566775,37.869625,-122.258361,44.4,0.8,0.2,0.2
1682553888.3918145,37.869625,-122.258361,42.2,1.4,0.8,0.0
1682553894.2255945,37.869625,-122.258361,39.2,1.2,0.6,0.0
1682553900.0751708,37.869625,-122.258361,39.4,0.6,0.6,0.0
1682553905.9424267,37.869625,-122.258361,50.0,1.4,0.4,0.0
1682553911.8412125,37.869625,-122.258361,48.6,0.8,0.2,0.0
1682553917.755895,37.869625,-122.258361,43.2,1.6,0.8,0.0
