timestamp,counts per 10 seconds
1679699048.728161,3
1679699058.7989333,10
1679699069.2918,7
1679699079.6408143,5
1679699090.3068604,12
1679699100.7497094,3
1679699111.1561582,10
1679699121.4377544,7
1679699132.318385,5
1679699142.646597,6
1679699152.7566264,10
1679699162.96382,9
