time,Concentration Units (Standard) PM 1.0,Concentration Units (Standard) PM 2.5,Concentration Units (Standard) PM 10.0,temperature,gas,pressure,humidity,altitude,
1677279658,0,0,0,16.4399609375,18982,996.0922357789626,35.82526697683197,143.83954863982663,
1677279659,0,0,0,16.442109375,19660,996.0247264623421,35.73546145143094,144.40945188115572,
1677279660,0,0,0,16.440546875,20210,995.9831877221285,35.89848651997697,144.7601310640932,
1677279661,0,0,0,16.44015625,20771,995.9605310260799,36.13508050526801,144.95140886751707,
1677279663,0,0,0,16.4559765625,21387,995.9192123824374,36.27192322162089,145.3002481207626,
1677279664,0,0,0,16.4969921875,22063,995.8792876884161,36.71094676752101,145.6373298638431,
1677279665,0,0,0,16.5503125,22733,995.8547933564842,36.71590765002956,145.84413942194539,
1677279666,0,0,0,16.6309765625,23084,995.8386326820058,36.84804161725422,145.98058883381879,
1677279667,0,0,0,16.7266796875,23871,995.8661444537144,37.0328019237062,145.748299782318,
1677279669,0,0,0,16.813984375,24921,995.8982516011665,37.097770882842696,145.4772173472358,
1677279670,0,0,0,16.880390625,25297,995.9005722609568,37.024540915659976,145.45762416153002,
1677279671,0,0,0,16.9425,26100,995.9448369389006,37.030381618447606,145.08390732687556,
1677279672,0,0,0,17.0141796875,26396,996.005049011193,36.92362509550212,144.57557177641365,
1677279673,0,1,1,17.078828125,27451,996.0010041754456,36.6802612579423,144.60971919543516,
1677279674,0,1,1,17.131171875,28151,995.9849014537738,36.48701318539424,144.74566313033714,
1677279676,0,1,1,17.1946484375,28612,995.9737834798777,36.22722636582704,144.8395253900151,
1677279677,0,1,1,17.2673046875,28988,995.9677763681299,36.092801524587394,144.89024011672993,
1677279678,0,1,1,17.324140625,29333,995.9709748813882,36.0303398128342,144.86323680502315,
1677279679,0,1,1,17.3673046875,29898,995.9835832072562,35.93843889404708,144.75679223580352,
1677279680,0,1,1,17.4059765625,30397,996.0327750378602,35.761662661338406,144.34150540556823,
1677279682,0,1,1,17.4200390625,30663,996.0443440906914,35.85873717801659,144.24383966384661,
1677279683,0,1,1,17.4309765625,31398,996.0507048595907,35.81466150088457,144.19014255534665,
1677279684,0,1,1,17.4454296875,31998,996.066314893638,35.799088205186536,144.0583650580206,
1677279685,0,1,1,17.4528515625,32671,996.0837698191572,35.73780848216007,143.9110152520063,
1677279686,0,1,1,17.4739453125,33136,996.0968833566371,35.55963106598307,143.80031565637003,
1677279688,0,1,1,17.485859375,33453,996.11843405159,35.46512165290163,143.61839528516356,
1677279689,0,1,1,17.4993359375,34079,996.1171566347865,35.55632933424987,143.62917852091522,
1677279690,0,1,1,17.4977734375,34613,996.1315075220066,35.30888203440516,143.5080370285918,
1677279691,0,1,1,17.5098828125,35254,996.1516884208058,35.10233836785629,143.3376845027085,
1677279692,1,2,2,17.5159375,35919,996.2363824411622,35.19825645659344,142.6227894172795,
1677279694,1,2,2,17.5161328125,36545,996.307920620015,35.20949821124386,142.01898001784556,
1677279695,1,2,2,17.5378125,36609,996.3694904833455,35.13852287028035,141.4993350950293,
1677279696,1,1,1,17.56984375,36931,996.4228824525576,35.05169383891093,141.04873202023583,
1677279697,1,1,1,17.60890625,37627,996.4778210717228,34.89831471827957,140.58509635564545,
1677279698,1,1,1,17.654609375,38037,996.5268700120562,34.80164381904043,140.17118210636818,
1677279700,1,1,1,17.7079296875,38598,996.5580848514354,34.61063179288665,139.90777487637712,
1677279701,1,1,1,17.765546875,38848,996.572707552194,34.44814776218497,139.784383135332,
1677279702,1,1,1,17.8200390625,39470,996.5413974223472,34.30785967093943,140.04859134755475,
1677279703,0,1,1,17.88,39845,996.5276651804576,34.07899040425561,140.16447197431086,
1677279704,0,1,1,17.9262890625,40266,996.5030087781254,34.0162417366356,140.37254025183648,
1677279705,0,1,1,17.9516796875,40657,996.5045986258967,33.745798774073585,140.35912385868812,
1677279707,0,1,1,17.95265625,41176,996.5011358058482,33.66250945864432,140.3883458957651,
1677279708,0,1,1,17.9548046875,41667,996.4877487568191,33.44059792533789,140.50131726465008,
1677279709,0,1,1,17.964765625,42001,996.4907728632996,33.37490381381571,140.47579716037734,
1677279710,1,1,1,17.97609375,42469,996.5011650214558,33.242851792662805,140.38809935082642,
1677279711,1,1,1,17.98703125,43169,996.548235504844,33.03893496856187,139.99088812109562,
1677279713,1,1,1,17.95890625,43663,996.5573617348846,32.831936451389275,139.91387683851818,
1677279714,1,1,1,17.8940625,43984,996.5663693390776,32.7159169626312,139.83786713479066,
1677279715,1,1,1,17.8190625,44357,996.5957494842124,32.61017925657797,139.58994979140581,
1677279716,1,1,1,17.7091015625,44927,996.5922634150007,32.60629542583815,139.61936584508882,
1677279717,1,1,1,17.6188671875,44879,996.6114370129253,32.42779577540734,139.4575767475789,
1677279719,1,1,1,17.50265625,46266,996.6228654320666,32.3463838335265,139.36114358773526,
1677279720,1,1,1,17.367890625,46012,996.6338030191749,32.24699876779335,139.26885291393776,
1677279721,1,1,1,17.24328125,46420,996.6395627870678,32.252980664483054,139.22025268347338,
1677279722,1,1,1,17.146796875,46626,996.6260776294195,32.26133933713812,139.33403918294934,
1677279723,1,1,1,17.0622265625,46887,996.8137279888151,32.47417947769607,137.75077500428802,
1677279725,1,1,1,17.0005078125,47043,996.7565006247071,32.474461736981986,138.2335944144325,
1677279726,1,1,1,16.89640625,47740,996.7047817076942,32.56472574365753,138.66995912193647,
1677279727,1,1,1,16.7946484375,48097,996.6874291651577,32.523093576589375,138.81637072579338,
1677279728,0,0,0,16.7157421875,48097,996.6776905734617,32.676075522516825,138.8985407315453,
1677279729,0,0,0,16.6598828125,48854,996.6488186470799,32.73193760550985,139.1421533235102,
1677279730,0,0,0,16.5784375,49344,996.6314165281938,32.87384928022925,139.28898990516242,
1677279732,0,1,1,16.5176953125,49607,996.6350022343582,32.85765618408169,139.2587340613494,
1677279733,0,1,1,16.4602734375,50141,996.622107237556,32.95756039706473,139.36754121584218,
1677279734,0,1,1,16.4298046875,49992,996.6186455011823,33.026699637087205,139.39675131902746,
1677279735,1,1,1,16.3950390625,50262,996.6198556728629,33.08997815273749,139.38653989095434,
1677279736,1,1,1,16.3626171875,50934,996.6300505990105,33.09825318880468,139.30051550744508,
1677279738,1,1,1,16.3294140625,51090,996.5949321204608,33.14511823594106,139.596846840334,
1677279739,1,1,1,16.2782421875,51752,996.5602775663922,33.289932229663705,139.88927184558548,
1677279740,1,1,1,16.2419140625,51752,996.5520902218218,33.430615198018096,139.95836019523188,
1677279741,1,1,1,16.2438671875,51561,996.5570431001299,33.39758650636135,139.91656561397576,
1677279742,0,0,0,16.2409375,52074,996.5487676840859,33.46927010449333,139.98639733476872,
1677279744,0,0,0,16.2548046875,52204,996.5363812775497,33.703123464975945,140.09092033865457,
1677279745,0,0,0,16.2596875,52433,996.5259178866437,33.79782619847611,140.17921674630185,
1677279746,0,0,0,16.2606640625,52335,996.5190868550949,33.84784903062316,140.2368615183909,
1677279747,1,1,1,16.26671875,52302,996.5122716588326,33.87612621321499,140.29437298068189,
1677279748,1,1,1,16.2528515625,52863,996.5246595231242,34.06376547879915,140.18983562773317,
1677279750,1,1,1,16.226875,53814,996.5625188219377,34.0726134108657,139.8703592434072,
1677279751,1,1,1,16.208125,53676,996.6851992161014,34.271195789623015,138.8351860097297,
