,time,temp,gas,humidity,pressure,altitude,PM 1.0,PM 2.5,PM10
0,1676679790.6122363,29.76125,157858,7.91873885212343,1006.628045295844,55.27874931089782,0,1,1
1,1676679792.1260102,29.7770703125,24467,7.880953237569669,1006.6235302148483,55.316540619633514,0,1,1
2,1676679793.3116999,29.828828125,34530,7.82502794064229,1006.6258347793987,55.29725135595322,0,1,1
3,1676679794.499182,29.8815625,45069,7.778684495589482,1006.6261594434541,55.29453391246061,0,1,1
4,1676679795.690133,29.92765625,54853,7.713100086917237,1006.6299076713069,55.2631612349281,0,1,1
5,1676679796.8809721,29.9680859375,64448,7.6903003750222805,1006.6351153883805,55.21957278556664,0,1,1
6,1676679798.072451,30.0065625,73677,7.634082723308966,1006.6353694504878,55.21744629735431,0,1,1
7,1676679799.263912,30.0415234375,82462,7.615912726437065,1006.6334655890952,55.23338154066781,0,1,1
8,1676679800.4547892,30.0727734375,89837,7.616710558270821,1006.6344198393323,55.225394501497924,0,1,1
9,1676679801.6405952,30.1044140625,95103,7.731982352947784,1006.6377809896555,55.19726184650313,0,1,1
10,1676679802.8263113,30.131953125,99323,8.239851487583618,1006.6362595771448,55.209995981390676,0,1,1
11,1676679804.0119567,30.15734375,103655,8.83228456739518,1006.6401356419715,55.17755357327269,0,1,1
12,1676679805.1977122,30.17765625,109365,9.316526541550655,1006.6411016123365,55.169468480477526,0,1,1
13,1676679806.3883564,30.193671875,113331,9.61317368947971,1006.6350936060358,55.21975510281573,0,1,1
14,1676679807.579499,30.20890625,118421,9.852173967172638,1006.6455924424721,55.13188068277037,0,1,1
15,1676679808.7710044,30.220625,123899,10.033026578277864,1006.6397205715879,55.18102768029339,0,1,1
16,1676679809.9623451,30.23,129410,9.930866661115127,1006.6424886118022,55.15785941960513,0,1,1
17,1676679811.153781,30.238203125,133399,9.697287264275205,1006.6451325973565,55.13572953401747,0,1,1
18,1676679812.345383,30.242109375,138320,9.439808845720776,1006.6461376001524,55.12731777691865,0,1,1
19,1676679813.536346,30.2477734375,137980,9.376896489931603,1006.646439248234,55.124793018714506,0,1,1
20,1676679814.7274034,30.2411328125,141213,9.804497997818729,1006.6445530930486,55.14057992110449,0,1,1
21,1676679815.919103,30.2165234375,145978,9.85242205741237,1006.6383983538658,55.19209454814637,0,1,1
22,1676679817.111314,30.1704296875,151754,9.55897104978126,1006.6382628372055,55.193228813574756,0,1,1
23,1676679818.3022602,30.1145703125,156831,9.193477590295204,1006.6382665461069,55.193197770317354,0,1,1
24,1676679819.4927776,30.0520703125,161329,8.838839557891824,1006.6399193372637,55.17936402680969,0,1,1
25,1676679820.683745,29.971796875,166256,8.470630472576616,1006.6393615425234,55.18403272674768,0,1,1
26,1676679821.8746552,29.8778515625,170283,8.127483801291042,1006.6325725402332,55.24085633214622,0,1,1
27,1676679823.065784,29.7841015625,173077,7.833402785562215,1006.6260628277128,55.29534258773352,0,1,1
28,1676679824.2569,29.70265625,175598,7.60251631865118,1006.6110740732978,55.4207994589545,0,1,1
29,1676679825.4478955,29.6219921875,180481,7.415034612967878,1006.6097595740991,55.4318019768058,0,1,1
30,1676679826.638918,29.537421875,181647,7.256344803633218,1006.6056243476554,55.466414399956236,0,1,1
31,1676679827.829989,29.4471875,183824,7.15466102788369,1006.6082388264688,55.44453083358215,0,1,1
32,1676679829.0211208,29.3446484375,185644,7.0859544180916645,1006.6032566762275,55.48623219247073,0,1,1
33,1676679830.2121475,29.2555859375,186249,7.055470578856279,1006.5881714000475,55.612499278530606,0,1,1
34,1676679831.4030867,29.1735546875,188578,7.0629878037710725,1006.5862520263612,55.62856496914512,0,1,1
35,1676679832.5943882,29.0973828125,188471,7.075367609899528,1006.5867246139192,55.624609277780756,0,1,1
36,1676679833.7859197,29.024921875,192740,7.0925581788579874,1006.5861034427868,55.629808655946874,0,1,1
37,1676679834.977364,28.968671875,191960,7.105403382536049,1006.576318115959,55.711714953491054,0,1,1
38,1676679836.16881,28.9165234375,193527,7.132523411788458,1006.5696374508989,55.76763461501236,0,1,1
39,1676679837.3601954,28.864765625,195006,7.154924830505211,1006.567128235714,55.78863776083843,0,1,1
40,1676679838.5511177,28.810859375,196507,7.172545908472393,1006.5682106078315,55.77957786330581,0,1,1
41,1676679839.7419763,28.759296875,198150,7.185493639739508,1006.5695419735978,55.76843379786092,0,1,1
42,1676679840.9328382,28.6868359375,199821,7.18375867274567,1006.5741330899112,55.730004404463955,0,1,1
43,1676679842.1214805,28.5977734375,203622,7.134390862599763,1006.5765353471638,55.709896652226384,0,1,1
44,1676679843.3128583,28.4954296875,205387,7.061169958115617,1006.5768093897042,55.70760282063719,0,1,1
45,1676679844.5037022,28.3692578125,208878,6.968646612639084,1006.5772852772465,55.703619477222325,0,1,1
46,1676679845.694667,28.2356640625,210334,6.890227040210862,1006.5797958717019,55.68260495805228,0,1,1
47,1676679846.8805285,28.090546875,213446,6.8257733220188195,1006.5829697632819,55.65603847982314,0,1,1
48,1676679848.0662236,27.92609375,214828,6.79855377483674,1006.5847006325732,55.64155058397682,0,1,1
49,1676679849.2518694,27.7477734375,216511,6.775752081861244,1006.5796798123508,55.683576412885074,0,1,1
50,1676679850.4373705,27.5512890625,216369,6.818253698511926,1006.5768183119434,55.70752813839107,0,1,1
51,1676679851.6283095,27.3712109375,218363,6.8892601199980055,1006.5757198949563,55.71672227444599,0,1,1
52,1676679852.819809,27.2247265625,219084,6.9328515195559115,1006.5707931062767,55.75796132641509,0,1,1
