time,Concentration Units (Standard) PM 1.0,Concentration Units (Standard) PM 2.5,Concentration Units (Standard) PM 10.0,temperature,gas,pressure,humidity,altitude,
1676677883,0,2,2,22.1907421875,40266,1006.4186947497028,16.964390245648826,57.03116150154101,
1676677885,0,2,2,22.2091015625,8369,1006.4186844438767,16.945646556195424,57.03124777585767,
1676677886,0,2,2,22.24875,12720,1006.4252733017972,16.927979522413214,56.97608987451065,
1676677887,1,2,2,22.2876171875,15648,1006.4356739919083,16.870944119023086,56.88902223314324,
1676677888,1,2,2,22.3223828125,17699,1006.4443284777292,16.813721894947474,56.81657320488378,
1676677889,1,2,2,22.3520703125,19387,1006.4598563950302,16.761176768336885,56.686586097688064,
1676677891,1,2,2,22.376484375,20875,1006.4562994673622,16.708385764327932,56.7163616627349,
1676677892,1,2,2,22.3971875,22039,1006.4601988543243,16.675059112239943,56.68371932502567,
1676677893,1,2,2,22.414375,23135,1006.466756135322,16.631751164900585,56.62882759908399,
1676677894,1,2,2,22.4298046875,24076,1006.4635334205711,16.593273932408483,56.65580526523497,
1676677895,1,2,2,22.442890625,25040,1006.4649314100875,16.559594373095468,56.644102547170036,
1676677896,1,2,2,22.4536328125,25779,1006.4624051364931,16.535611604025625,56.665250260155304,
1676677898,1,2,2,22.46359375,26665,1006.4636978960974,16.516495895743024,56.65442842252921,
1676677899,1,2,2,22.4723828125,27343,1006.4613193382091,16.487522845019747,56.67433960973679,
1676677900,1,2,2,22.4801953125,28038,1006.4521780211171,16.4634075493309,56.75086300244196,
1676677901,1,2,2,22.48703125,28750,1006.4516567840519,16.45394568055147,56.75522637626096,
1676677902,1,2,2,22.493671875,29292,1006.45251761627,16.429778471272858,56.74802018832752,
1676677904,1,2,2,22.4989453125,29877,1006.4579266562755,16.42024170463998,56.702740214262334,
1676677905,1,1,1,22.5044140625,30463,1006.4653718682588,16.420510990803024,56.64041542797041,
1676677906,1,1,1,22.507734375,31004,1006.4606743202868,16.405980901425394,56.67973913702294,
1676677907,1,1,1,22.51125,31564,1006.4545943367356,16.411051587029917,56.730635592400645,
1676677908,1,1,1,22.514765625,32120,1006.4570606758148,16.401429352117546,56.709989467569834,
1676677910,1,1,1,22.5184765625,32569,1006.4547260299769,16.401611915283297,56.729533165858534,
1676677911,1,1,1,22.5216015625,33136,1006.4479918794804,16.387074069373757,56.78590603557985,
1676677912,0,1,1,22.5251171875,33614,1006.4555860068326,16.36766090362323,56.722334156101,
