time,temperature,gas,pressure,humidity,altitude,Concentration Units (Standard) PM 1.0,Concentration Units (Standard) PM 2.5,Concentration Units (Standard) PM 10.0,
1676677176,21.988984375,25115,1006.5112632197691,17.89200453628597,56.256261515375776,1,2,2,
1676677178,21.9958203125,6102,1006.5158816954328,17.887410485114028,56.21760130180862,1,2,2,
1676677180,22.0096875,9435,1006.5203215737995,17.888144665978068,56.180436221166026,0,1,1,
1676677183,22.0253125,11776,1006.5259970371569,17.844373966067426,56.13292856943914,0,1,1,
1676677185,22.039765625,13676,1006.528000838594,17.78569815150186,56.11615538269521,0,1,1,
